country,iso3c,date,confirmed,deaths,days,onset,matched_days
Argentina,ARG,2020-03-03,1,0,41,41,0
Argentina,ARG,2020-03-04,1,0,42,41,1
Argentina,ARG,2020-03-05,1,0,43,41,2
Argentina,ARG,2020-03-06,2,0,44,41,3
Argentina,ARG,2020-03-07,8,0,45,41,4
Argentina,ARG,2020-03-08,12,1,46,41,5
Argentina,ARG,2020-03-09,12,1,47,41,6
Argentina,ARG,2020-03-10,17,1,48,41,7
Argentina,ARG,2020-03-11,19,1,49,41,8
Argentina,ARG,2020-03-12,19,1,50,41,9
Argentina,ARG,2020-03-13,31,2,51,41,10
Argentina,ARG,2020-03-14,34,2,52,41,11
Argentina,ARG,2020-03-15,45,2,53,41,12
Argentina,ARG,2020-03-16,56,2,54,41,13
Argentina,ARG,2020-03-17,68,2,55,41,14
Argentina,ARG,2020-03-18,79,2,56,41,15
Argentina,ARG,2020-03-19,97,3,57,41,16
Argentina,ARG,2020-03-20,128,3,58,41,17
Argentina,ARG,2020-03-21,158,4,59,41,18
Argentina,ARG,2020-03-22,266,4,60,41,19
Argentina,ARG,2020-03-23,301,4,61,41,20
Argentina,ARG,2020-03-24,387,6,62,41,21
Argentina,ARG,2020-03-25,387,8,63,41,22
Argentina,ARG,2020-03-26,502,9,64,41,23
Argentina,ARG,2020-03-27,589,13,65,41,24
Argentina,ARG,2020-03-28,690,18,66,41,25
Brazil,BRA,2020-02-26,1,0,35,35,0
Brazil,BRA,2020-02-27,1,0,36,35,1
Brazil,BRA,2020-02-28,1,0,37,35,2
Brazil,BRA,2020-02-29,2,0,38,35,3
Brazil,BRA,2020-03-01,2,0,39,35,4
Brazil,BRA,2020-03-02,2,0,40,35,5
Brazil,BRA,2020-03-03,2,0,41,35,6
Brazil,BRA,2020-03-04,4,0,42,35,7
Brazil,BRA,2020-03-05,4,0,43,35,8
Brazil,BRA,2020-03-06,13,0,44,35,9
Brazil,BRA,2020-03-07,13,0,45,35,10
Brazil,BRA,2020-03-08,20,0,46,35,11
Brazil,BRA,2020-03-09,25,0,47,35,12
Brazil,BRA,2020-03-10,31,0,48,35,13
Brazil,BRA,2020-03-11,38,0,49,35,14
Brazil,BRA,2020-03-12,52,0,50,35,15
Brazil,BRA,2020-03-13,151,0,51,35,16
Brazil,BRA,2020-03-14,151,0,52,35,17
Brazil,BRA,2020-03-15,162,0,53,35,18
Brazil,BRA,2020-03-16,200,0,54,35,19
Brazil,BRA,2020-03-17,321,1,55,35,20
Brazil,BRA,2020-03-18,372,3,56,35,21
Brazil,BRA,2020-03-19,621,6,57,35,22
Brazil,BRA,2020-03-20,793,11,58,35,23
Brazil,BRA,2020-03-21,1021,15,59,35,24
Brazil,BRA,2020-03-22,1546,25,60,35,25
Brazil,BRA,2020-03-23,1924,34,61,35,26
Brazil,BRA,2020-03-24,2247,46,62,35,27
Brazil,BRA,2020-03-25,2554,59,63,35,28
Brazil,BRA,2020-03-26,2985,77,64,35,29
Brazil,BRA,2020-03-27,3417,92,65,35,30
Brazil,BRA,2020-03-28,3904,111,66,35,31
Italy,ITA,2020-01-31,2,0,9,9,0
Italy,ITA,2020-02-01,2,0,10,9,1
Italy,ITA,2020-02-02,2,0,11,9,2
Italy,ITA,2020-02-03,2,0,12,9,3
Italy,ITA,2020-02-04,2,0,13,9,4
Italy,ITA,2020-02-05,2,0,14,9,5
Italy,ITA,2020-02-06,2,0,15,9,6
Italy,ITA,2020-02-07,3,0,16,9,7
Italy,ITA,2020-02-08,3,0,17,9,8
Italy,ITA,2020-02-09,3,0,18,9,9
Italy,ITA,2020-02-10,3,0,19,9,10
Italy,ITA,2020-02-11,3,0,20,9,11
Italy,ITA,2020-02-12,3,0,21,9,12
Italy,ITA,2020-02-13,3,0,22,9,13
Italy,ITA,2020-02-14,3,0,23,9,14
Italy,ITA,2020-02-15,3,0,24,9,15
Italy,ITA,2020-02-16,3,0,25,9,16
Italy,ITA,2020-02-17,3,0,26,9,17
Italy,ITA,2020-02-18,3,0,27,9,18
Italy,ITA,2020-02-19,3,0,28,9,19
Italy,ITA,2020-02-20,3,0,29,9,20
Italy,ITA,2020-02-21,20,1,30,9,21
Italy,ITA,2020-02-22,62,2,31,9,22
Italy,ITA,2020-02-23,155,3,32,9,23
Italy,ITA,2020-02-24,229,7,33,9,24
Italy,ITA,2020-02-25,322,10,34,9,25
Italy,ITA,2020-02-26,453,12,35,9,26
Italy,ITA,2020-02-27,655,17,36,9,27
Italy,ITA,2020-02-28,888,21,37,9,28
Italy,ITA,2020-02-29,1128,29,38,9,29
Italy,ITA,2020-03-01,1694,34,39,9,30
Italy,ITA,2020-03-02,2036,52,40,9,31
Italy,ITA,2020-03-03,2502,79,41,9,32
Italy,ITA,2020-03-04,3089,107,42,9,33
Italy,ITA,2020-03-05,3858,148,43,9,34
Italy,ITA,2020-03-06,4636,197,44,9,35
Italy,ITA,2020-03-07,5883,233,45,9,36
Italy,ITA,2020-03-08,7375,366,46,9,37
Italy,ITA,2020-03-09,9172,463,47,9,38
Italy,ITA,2020-03-10,10149,631,48,9,39
Italy,ITA,2020-03-11,12462,827,49,9,40
Italy,ITA,2020-03-12,12462,827,50,9,41
Italy,ITA,2020-03-13,17660,1266,51,9,42
Italy,ITA,2020-03-14,21157,1441,52,9,43
Italy,ITA,2020-03-15,24747,1809,53,9,44
Italy,ITA,2020-03-16,27980,2158,54,9,45
Italy,ITA,2020-03-17,31506,2503,55,9,46
Italy,ITA,2020-03-18,35713,2978,56,9,47
Italy,ITA,2020-03-19,41035,3405,57,9,48
Italy,ITA,2020-03-20,47021,4032,58,9,49
Italy,ITA,2020-03-21,53578,4825,59,9,50
Italy,ITA,2020-03-22,59138,5476,60,9,51
Italy,ITA,2020-03-23,63927,6077,61,9,52
Italy,ITA,2020-03-24,69176,6820,62,9,53
Italy,ITA,2020-03-25,74386,7503,63,9,54
Italy,ITA,2020-03-26,80589,8215,64,9,55
Italy,ITA,2020-03-27,86498,9134,65,9,56
Italy,ITA,2020-03-28,92472,10023,66,9,57
"Korea, South",KOR,2020-01-22,1,0,0,0,0
"Korea, South",KOR,2020-01-23,1,0,1,0,1
"Korea, South",KOR,2020-01-24,2,0,2,0,2
"Korea, South",KOR,2020-01-25,2,0,3,0,3
"Korea, South",KOR,2020-01-26,3,0,4,0,4
"Korea, South",KOR,2020-01-27,4,0,5,0,5
"Korea, South",KOR,2020-01-28,4,0,6,0,6
"Korea, South",KOR,2020-01-29,4,0,7,0,7
"Korea, South",KOR,2020-01-30,4,0,8,0,8
"Korea, South",KOR,2020-01-31,11,0,9,0,9
"Korea, South",KOR,2020-02-01,12,0,10,0,10
"Korea, South",KOR,2020-02-02,15,0,11,0,11
"Korea, South",KOR,2020-02-03,15,0,12,0,12
"Korea, South",KOR,2020-02-04,16,0,13,0,13
"Korea, South",KOR,2020-02-05,19,0,14,0,14
"Korea, South",KOR,2020-02-06,23,0,15,0,15
"Korea, South",KOR,2020-02-07,24,0,16,0,16
"Korea, South",KOR,2020-02-08,24,0,17,0,17
"Korea, South",KOR,2020-02-09,25,0,18,0,18
"Korea, South",KOR,2020-02-10,27,0,19,0,19
"Korea, South",KOR,2020-02-11,28,0,20,0,20
"Korea, South",KOR,2020-02-12,28,0,21,0,21
"Korea, South",KOR,2020-02-13,28,0,22,0,22
"Korea, South",KOR,2020-02-14,28,0,23,0,23
"Korea, South",KOR,2020-02-15,28,0,24,0,24
"Korea, South",KOR,2020-02-16,29,0,25,0,25
"Korea, South",KOR,2020-02-17,30,0,26,0,26
"Korea, South",KOR,2020-02-18,31,0,27,0,27
"Korea, South",KOR,2020-02-19,31,0,28,0,28
"Korea, South",KOR,2020-02-20,104,1,29,0,29
"Korea, South",KOR,2020-02-21,204,2,30,0,30
"Korea, South",KOR,2020-02-22,433,2,31,0,31
"Korea, South",KOR,2020-02-23,602,6,32,0,32
"Korea, South",KOR,2020-02-24,833,8,33,0,33
"Korea, South",KOR,2020-02-25,977,10,34,0,34
"Korea, South",KOR,2020-02-26,1261,12,35,0,35
"Korea, South",KOR,2020-02-27,1766,13,36,0,36
"Korea, South",KOR,2020-02-28,2337,13,37,0,37
"Korea, South",KOR,2020-02-29,3150,16,38,0,38
"Korea, South",KOR,2020-03-01,3736,17,39,0,39
"Korea, South",KOR,2020-03-02,4335,28,40,0,40
"Korea, South",KOR,2020-03-03,5186,28,41,0,41
"Korea, South",KOR,2020-03-04,5621,35,42,0,42
"Korea, South",KOR,2020-03-05,6088,35,43,0,43
"Korea, South",KOR,2020-03-06,6593,42,44,0,44
"Korea, South",KOR,2020-03-07,7041,44,45,0,45
"Korea, South",KOR,2020-03-08,7314,50,46,0,46
"Korea, South",KOR,2020-03-09,7478,53,47,0,47
"Korea, South",KOR,2020-03-10,7513,54,48,0,48
"Korea, South",KOR,2020-03-11,7755,60,49,0,49
"Korea, South",KOR,2020-03-12,7869,66,50,0,50
"Korea, South",KOR,2020-03-13,7979,66,51,0,51
"Korea, South",KOR,2020-03-14,8086,72,52,0,52
"Korea, South",KOR,2020-03-15,8162,75,53,0,53
"Korea, South",KOR,2020-03-16,8236,75,54,0,54
"Korea, South",KOR,2020-03-17,8320,81,55,0,55
"Korea, South",KOR,2020-03-18,8413,84,56,0,56
"Korea, South",KOR,2020-03-19,8565,91,57,0,57
"Korea, South",KOR,2020-03-20,8652,94,58,0,58
"Korea, South",KOR,2020-03-21,8799,102,59,0,59
"Korea, South",KOR,2020-03-22,8961,111,60,0,60
"Korea, South",KOR,2020-03-23,8961,111,61,0,61
"Korea, South",KOR,2020-03-24,9037,120,62,0,62
"Korea, South",KOR,2020-03-25,9137,126,63,0,63
"Korea, South",KOR,2020-03-26,9241,131,64,0,64
"Korea, South",KOR,2020-03-27,9332,139,65,0,65
"Korea, South",KOR,2020-03-28,9478,144,66,0,66
US,USA,2020-01-22,1,0,0,0,0
US,USA,2020-01-23,1,0,1,0,1
US,USA,2020-01-24,2,0,2,0,2
US,USA,2020-01-25,2,0,3,0,3
US,USA,2020-01-26,5,0,4,0,4
US,USA,2020-01-27,5,0,5,0,5
US,USA,2020-01-28,5,0,6,0,6
US,USA,2020-01-29,5,0,7,0,7
US,USA,2020-01-30,5,0,8,0,8
US,USA,2020-01-31,7,0,9,0,9
US,USA,2020-02-01,8,0,10,0,10
US,USA,2020-02-02,8,0,11,0,11
US,USA,2020-02-03,11,0,12,0,12
US,USA,2020-02-04,11,0,13,0,13
US,USA,2020-02-05,11,0,14,0,14
US,USA,2020-02-06,11,0,15,0,15
US,USA,2020-02-07,11,0,16,0,16
US,USA,2020-02-08,11,0,17,0,17
US,USA,2020-02-09,11,0,18,0,18
US,USA,2020-02-10,11,0,19,0,19
US,USA,2020-02-11,12,0,20,0,20
US,USA,2020-02-12,12,0,21,0,21
US,USA,2020-02-13,13,0,22,0,22
US,USA,2020-02-14,13,0,23,0,23
US,USA,2020-02-15,13,0,24,0,24
US,USA,2020-02-16,13,0,25,0,25
US,USA,2020-02-17,13,0,26,0,26
US,USA,2020-02-18,13,0,27,0,27
US,USA,2020-02-19,13,0,28,0,28
US,USA,2020-02-20,13,0,29,0,29
US,USA,2020-02-21,15,0,30,0,30
US,USA,2020-02-22,15,0,31,0,31
US,USA,2020-02-23,15,0,32,0,32
US,USA,2020-02-24,51,0,33,0,33
US,USA,2020-02-25,51,0,34,0,34
US,USA,2020-02-26,57,0,35,0,35
US,USA,2020-02-27,58,0,36,0,36
US,USA,2020-02-28,60,0,37,0,37
US,USA,2020-02-29,68,1,38,0,38
US,USA,2020-03-01,74,1,39,0,39
US,USA,2020-03-02,98,6,40,0,40
US,USA,2020-03-03,118,7,41,0,41
US,USA,2020-03-04,149,11,42,0,42
US,USA,2020-03-05,217,12,43,0,43
US,USA,2020-03-06,262,14,44,0,44
US,USA,2020-03-07,402,17,45,0,45
US,USA,2020-03-08,518,21,46,0,46
US,USA,2020-03-09,583,22,47,0,47
US,USA,2020-03-10,959,28,48,0,48
US,USA,2020-03-11,1281,36,49,0,49
US,USA,2020-03-12,1663,40,50,0,50
US,USA,2020-03-13,2179,47,51,0,51
US,USA,2020-03-14,2727,54,52,0,52
US,USA,2020-03-15,3499,63,53,0,53
US,USA,2020-03-16,4632,85,54,0,54
US,USA,2020-03-17,6421,108,55,0,55
US,USA,2020-03-18,7783,118,56,0,56
US,USA,2020-03-19,13677,200,57,0,57
US,USA,2020-03-20,19100,244,58,0,58
US,USA,2020-03-21,25489,307,59,0,59
US,USA,2020-03-22,33276,417,60,0,60
US,USA,2020-03-23,43847,557,61,0,61
US,USA,2020-03-24,53740,706,62,0,62
US,USA,2020-03-25,65778,942,63,0,63
US,USA,2020-03-26,83836,1209,64,0,64
US,USA,2020-03-27,101657,1581,65,0,65
US,USA,2020-03-28,121478,2026,66,0,66
